Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/services.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/services.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/services.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/services.eda.nokia.com/v1/bridgedomains,GET,com.nokia.eda.services.v1.BridgeDomainList,,false,false,false
/apps/services.eda.nokia.com/v1/bridgeinterfaces,GET,com.nokia.eda.services.v1.BridgeInterfaceList,,false,false,false
/apps/services.eda.nokia.com/v1/dhcprelays,GET,com.nokia.eda.services.v1.DHCPRelayList,,false,false,false
/apps/services.eda.nokia.com/v1/irbinterfaces,GET,com.nokia.eda.services.v1.IRBInterfaceList,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains,DELETE,com.nokia.eda.services.v1.BridgeDomainList,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains,GET,com.nokia.eda.services.v1.BridgeDomainList,bridge_domain_list,true,true,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains,POST,com.nokia.eda.services.v1.BridgeDomain,bridge_domain,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains/_deleted,GET,com.nokia.eda.services.v1.BridgeDomain_DeletedResources,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains/{name},DELETE,Status,bridge_domain,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains/{name},GET,com.nokia.eda.services.v1.BridgeDomain,bridge_domain,true,true,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains/{name},PATCH,Patch,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains/{name},PUT,com.nokia.eda.services.v1.BridgeDomain,bridge_domain,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgedomains/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces,DELETE,com.nokia.eda.services.v1.BridgeInterfaceList,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces,GET,com.nokia.eda.services.v1.BridgeInterfaceList,bridge_interface_list,true,true,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces,POST,com.nokia.eda.services.v1.BridgeInterface,bridge_interface,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces/_deleted,GET,com.nokia.eda.services.v1.BridgeInterface_DeletedResources,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces/{name},DELETE,Status,bridge_interface,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces/{name},GET,com.nokia.eda.services.v1.BridgeInterface,bridge_interface,true,true,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces/{name},PATCH,Patch,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces/{name},PUT,com.nokia.eda.services.v1.BridgeInterface,bridge_interface,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/bridgeinterfaces/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays,DELETE,com.nokia.eda.services.v1.DHCPRelayList,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays,GET,com.nokia.eda.services.v1.DHCPRelayList,dhcp_relay_list,true,true,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays,POST,com.nokia.eda.services.v1.DHCPRelay,dhcp_relay,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays/_deleted,GET,com.nokia.eda.services.v1.DHCPRelay_DeletedResources,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays/{name},DELETE,Status,dhcp_relay,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays/{name},GET,com.nokia.eda.services.v1.DHCPRelay,dhcp_relay,true,true,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays/{name},PATCH,Patch,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays/{name},PUT,com.nokia.eda.services.v1.DHCPRelay,dhcp_relay,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/dhcprelays/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces,DELETE,com.nokia.eda.services.v1.IRBInterfaceList,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces,GET,com.nokia.eda.services.v1.IRBInterfaceList,irb_interface_list,true,true,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces,POST,com.nokia.eda.services.v1.IRBInterface,irb_interface,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces/_deleted,GET,com.nokia.eda.services.v1.IRBInterface_DeletedResources,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces/{name},DELETE,Status,irb_interface,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces/{name},GET,com.nokia.eda.services.v1.IRBInterface,irb_interface,true,true,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces/{name},PATCH,Patch,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces/{name},PUT,com.nokia.eda.services.v1.IRBInterface,irb_interface,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/irbinterfaces/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/routedinterfaces,DELETE,com.nokia.eda.services.v1.RoutedInterfaceList,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/routedinterfaces,GET,com.nokia.eda.services.v1.RoutedInterfaceList,routed_interface_list,true,true,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/routedinterfaces,POST,com.nokia.eda.services.v1.RoutedInterface,routed_interface,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/routedinterfaces/_deleted,GET,com.nokia.eda.services.v1.RoutedInterface_DeletedResources,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/routedinterfaces/{name},DELETE,Status,routed_interface,true,false,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/routedinterfaces/{name},GET,com.nokia.eda.services.v1.RoutedInterface,routed_interface,true,true,true
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/routedinterfaces/{name},PATCH,Patch,,false,false,false
/apps/services.eda.nokia.com/v1/namespaces/{namespace}/routedinterfaces/{name},PUT,com.nokia.eda.services.v1.RoutedInterface,routed_interface,true,false,true
